,id,name,slug,st_x,st_y,district,state,region,panchayat,sub_district_type_id,sub_district_name
227,702,Bungamehra,702-bungamehra,29.4041783,80.0842224,Champawat,Uttarakhand,,,4.0,Lohaghat
228,703,Kathputli Colony,703-kathputli-colony,28.6534164,77.1531899,West Delhi,National Capital Territory of Delhi,,,1.0,Khanapur
229,704,Nalupur,704-nalupur,23.4171433,88.6976527,Nadia,West Bengal,,,1.0,Krishnaganj
230,708,Darpanguda,708-darpanguda,19.815496,80.0227514,Gadchiroli,Maharashtra,,,3.0,Chamorshi
231,705,Nisarpur,705-nisarpur,22.1093712,74.8075766,Dhar,Madhya Pradesh,,,4.0,Kukshi
232,709,Haripur,709-haripur,23.7295581,88.5299428,Nadia,West Bengal,,,1.0,Tehatta I
233,711,Khasipara,711-khasipara,25.5679372,90.2244662,West Garo Hills,Meghalaya,,,1.0,West Garo Hills
234,713,Lalbazar,713-lalbazar,23.7295581,88.5299428,Nadia,West Bengal,,,1.0,Tehatta I
235,706,Betai,706-betai,23.7295581,88.5299428,Nadia,West Bengal,,,1.0,Tehatta I
236,707,Trimbak,707-trimbak,19.9373638,73.5363557,Nashik,Maharashtra,,,3.0,Trimbak
237,714,Khaparkheda,714-khaparkheda,22.0773063,74.8448648,Dhar,Madhya Pradesh,,,4.0,Kukshi
238,718,Panchdra,718-panchdra,23.7295581,88.5299428,Nadia,West Bengal,,,1.0,Tehatta II
239,81,Jalka,81-jalka,20.382335,78.4808775,Yavatmal,Maharashtra,,,,
240,719,Navdatoli,719-navdatoli,22.120897,75.611128,Khargone,Madhya Pradesh,,,4.0,Kasrawad
241,715,Padvi,715-padvi,18.5204303,73.8567437,Pune,Maharashtra,,,3.0,Daund
242,6,Chennai,6-chennai,13.0524139,80.2508246,Chennai,Tamil Nadu,,,,
243,970,Sivagangai,970-sivagangai,9.8432999,78.4808775,Sivagangai district,Tamil Nadu,,,,
244,724,Barali,724-barali,19.1382514,77.3209555,Nanded,Maharashtra,,,3.0,Mukhed
245,716,Barberia,716-barberia,22.3425873,88.144998,North 24 Parganas,West Bengal,,,1.0,Barasat
246,60,Panimara,60-panimara,21.2469563,84.3568338,Sambalpur,Odisha,,,,
247,67,Ghazipur,67-ghazipur,25.5840419,83.5770202,Ghazipur,Uttar Pradesh,,,,
248,1168,Valaiyapatti,1168-valaiyapatti,9.3060606,77.6519179,Virudhunagar,Tamil Nadu,,,,
249,717,Amrikhowa,717-amrikhowa,26.3304209,91.0040547,Barpeta,Assam,,,1.0,Barpeta
250,62,Bundelkand,62-bundelkand,24.0868813193555,79.1281787109375,Sagar,Madhya Pradesh,,,,
251,66,Malkangiri,66-malkangiri,18.3435863,81.8825279,Malkangiri,Odisha,,,,
252,738,Govindpur,738-govindpur,22.0617414,84.2963391999999,Jagatsinghpur,Odisha,,,,
253,118,Madhya Gurguria,118-madhya-gurguria,21.9846663,88.5541146,Twenty-four Parganas,West Bengal,,,,
254,139,Anaikatti,139-anaikatti,11.104833,76.7682775000001,Coimbatore,Tamil Nadu,,,,
255,726,Devikulam,726-devikulam,10.0564306,77.1197521,Idukki,Kerala,,,1.0,Devikulam
256,90,Bagdia,90-bagdia,21.107171,84.8176862,Anugul,Odisha,,,,
